%Iter	duration	train_objective	valid_objective	difference
0	22.0	-6.92461	-6.92461	0
1	16.0	-6.23662	-6.13046	0.10616
2	35.0	-5.40471	-5.3891	0.01561
3	35.0	-4.44174	-4.45191	-0.01017
4	24.0	-3.75562	-3.90782	-0.1522
5	34.0	-3.44643	-3.54003	-0.0936
6	25.0	-3.13668	-3.21089	-0.07421
7	17.0	-2.90356	-3.00341	-0.09985
8	31.0	-2.87898	-3.02517	-0.14619
9	25.0	-2.6401	-2.69144	-0.05134
10	35.0	-2.51892	-2.53707	-0.01815
11	19.0	-2.41156	-2.51616	-0.1046
12	33.0	-2.42324	-2.50456	-0.08132
13	38.0	-2.26991	-2.34242	-0.07251
14	38.0	-2.21854	-2.32539	-0.10685
15	28.0	-2.16277	-2.27507	-0.1123
16	28.0	-2.08436	-2.10534	-0.02098
17	16.0	-2.015	-2.09739	-0.08239
18	17.0	-2.08232	-2.07924	0.00308
19	37.0	-2.02603	-2.07909	-0.05306
20	38.0	-1.94244	-2.01055	-0.06811
21	24.0	-1.90869	-2.07613	-0.16744
22	33.0	-1.8425	-2.02196	-0.17946
23	24.0	-1.76925	-1.92958	-0.16033
24	16.0	-1.71579	-2.01894	-0.30315
25	30.0	-1.80564	-1.95321	-0.14757
26	24.0	-1.73048	-1.89561	-0.16513
27	33.0	-1.71826	-1.8632	-0.14494
28	17.0	-1.68598	-1.93937	-0.25339
29	32.0	-1.75765	-1.91147	-0.15382
30	37.0	-1.69515	-1.87945	-0.1843
31	37.0	-1.66175	-1.85005	-0.1883
32	27.0	-1.69185	-1.91023	-0.21838
33	27.0	-1.64046	-1.75616	-0.1157
34	16.0	-1.64181	-1.79114	-0.14933
35	16.0	-1.68055	-1.77265	-0.0921
36	36.0	-1.60017	-1.75281	-0.15264
37	34.0	-1.61635	-1.73667	-0.12032
38	24.0	-1.64473	-1.77601	-0.13128
39	34.0	-1.57633	-1.78461	-0.20828
40	27.0	-1.60846	-1.74821	-0.13975
41	16.0	-1.52711	-1.78143	-0.25432
42	30.0	-1.61496	-1.74415	-0.12919
43	25.0	-1.56872	-1.77466	-0.20594
44	34.0	-1.54515	-1.73028	-0.18513
45	18.0	-1.51981	-1.78018	-0.26037
46	32.0	-1.54046	-1.71753	-0.17707
47	37.0	-1.51892	-1.75368	-0.23476
48	37.0	-1.49926	-1.7182	-0.21894
49	27.0	-1.50864	-1.74255	-0.23391
50	27.0	-1.46866	-1.64394	-0.17528
51	15.0	-1.45504	-1.68652	-0.23148
52	17.0	-1.49157	-1.69377	-0.2022
53	36.0	-1.50021	-1.67127	-0.17106
54	34.0	-1.50183	-1.69485	-0.19302
55	24.0	-1.52672	-1.68048	-0.15376
56	34.0	-1.48439	-1.66534	-0.18095
57	24.0	-1.48704	-1.67	-0.18296
58	15.0	-1.45145	-1.72567	-0.27422
59	31.0	-1.48826	-1.6726	-0.18434
60	28.0	-1.43561	-1.7002	-0.26459
61	34.0	-1.42909	-1.66915	-0.24006
62	17.0	-1.41096	-1.75317	-0.34221
63	31.0	-1.44931	-1.68503	-0.23572
64	36.0	-1.4345	-1.70191	-0.26741
65	36.0	-1.43576	-1.72794	-0.29218
66	27.0	-1.46118	-1.74158	-0.2804
67	27.0	-1.42264	-1.63726	-0.21462
Total training time is 0:31:28
