Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.561	0.658	0.504	0.392	0.219	0.253	8e-06	0.28	1.9	0.0001	0.47	1.0	0.04	0.06	0.66
2	0.682	0.634	0.502	0.358	0.383	0.511	2e-05	0.59	1.9	6e-05	0.57	0.96	0.05	0.07	1.3
3	0.723	0.633	0.509	0.357	0.581	0.786	0.0	0.68	1.9	0.0	0.58	0.95	0.09	0.11	2.0
4	0.792	0.645	0.498	0.346	0.739	1.02	0.0	0.78	1.9	0.0	0.53	0.92	0.1	0.13	2.6
5	0.926	0.701	0.496	0.338	0.849	1.2	0.0	0.97	2.0	0.0	0.55	0.9	0.11	0.12	3.0
6	0.987	0.752	0.503	0.346	0.856	1.21	0.0	0.99	2.1	0.0	0.53	0.93	0.11	0.13	3.0
7	1.08	0.795	0.503	0.342	0.947	1.36	0.0	1.1	2.2	0.0	0.55	0.92	0.11	0.13	3.3
8	1.21	0.852	0.504	0.333	1.01	1.48	1e-06	1.3	2.4	5e-05	0.57	0.89	0.1	0.12	3.7
9	1.25	0.92	0.519	0.353	0.894	1.29	0.0	1.3	2.6	0.0	0.56	0.94	0.1	0.12	3.2
10	1.28	0.932	0.517	0.35	0.96	1.39	0.0	1.3	2.6	0.0	0.55	0.93	0.1	0.12	3.4
11	1.29	0.961	0.523	0.359	0.88	1.27	0.0	1.3	2.7	0.0	0.54	0.96	0.1	0.12	3.2
12	1.36	0.965	0.515	0.343	1.09	1.6	0.0	1.4	2.7	0.0	0.56	0.91	0.11	0.13	4.0
13	1.4	1.03	0.531	0.362	0.879	1.28	0.0	1.4	2.9	0.0	0.56	0.95	0.09	0.11	3.2
14	1.37	1.03	0.531	0.366	0.848	1.22	0.0	1.3	2.9	0.0	0.55	0.96	0.09	0.11	3.0
15	1.36	1.03	0.532	0.366	0.847	1.22	0.0	1.3	2.9	0.0	0.55	0.96	0.1	0.11	3.0
16	1.39	1.03	0.53	0.36	0.966	1.4	0.0	1.4	2.9	0.0	0.56	0.95	0.11	0.12	3.5
17	1.43	1.05	0.534	0.363	0.959	1.39	0.0	1.4	2.9	0.0	0.56	0.95	0.1	0.12	3.4
18	1.51	1.06	0.529	0.35	1.18	1.74	0.0	1.6	3.0	0.0	0.58	0.92	0.11	0.13	4.3
19	1.61	1.11	0.537	0.355	1.13	1.67	0.0	1.7	3.1	0.0	0.6	0.93	0.1	0.12	4.1
20	1.61	1.18	0.551	0.375	0.808	1.17	0.0	1.6	3.3	0.0	0.58	0.97	0.08	0.1	2.9
21	1.55	1.16	0.549	0.375	0.815	1.18	0.0	1.5	3.3	0.0	0.57	0.97	0.09	0.11	2.9
22	1.55	1.14	0.545	0.368	0.975	1.42	0.0	1.5	3.2	0.0	0.58	0.96	0.1	0.12	3.5
23	1.55	1.16	0.549	0.375	0.817	1.18	0.0	1.5	3.2	0.0	0.56	0.97	0.09	0.11	2.9
24	1.54	1.14	0.546	0.37	0.949	1.38	0.0	1.5	3.2	0.0	0.58	0.96	0.1	0.12	3.4
25	1.59	1.13	0.54	0.358	1.16	1.71	0.0	1.6	3.2	0.0	0.59	0.93	0.11	0.13	4.2
26	1.62	1.19	0.553	0.375	0.865	1.25	0.0	1.6	3.3	0.0	0.58	0.97	0.09	0.11	3.1
27	1.59	1.17	0.552	0.373	0.938	1.36	0.0	1.5	3.3	0.0	0.58	0.96	0.1	0.12	3.3
28	1.57	1.18	0.555	0.379	0.788	1.13	0.0	1.5	3.3	0.0	0.57	0.98	0.09	0.1	2.8
29	1.57	1.14	0.546	0.364	1.13	1.64	0.0	1.5	3.2	0.0	0.59	0.94	0.11	0.14	4.0
30	1.59	1.18	0.556	0.378	0.815	1.18	0.0	1.6	3.3	0.0	0.58	0.97	0.09	0.11	2.9
31	1.54	1.18	0.558	0.381	0.755	1.08	0.0	1.4	3.3	0.0	0.57	0.98	0.09	0.11	2.7
32	1.51	1.17	0.557	0.382	0.75	1.07	0.0	1.4	3.2	0.0	0.57	0.98	0.09	0.11	2.7
33	1.51	1.14	0.554	0.376	0.888	1.27	0.0	1.4	3.2	0.0	0.58	0.97	0.1	0.12	3.1
34	1.51	1.14	0.555	0.377	0.876	1.26	0.0	1.4	3.2	0.0	0.58	0.97	0.1	0.12	3.1
35	1.53	1.11	0.546	0.363	1.17	1.71	0.0	1.5	3.1	0.0	0.6	0.95	0.13	0.14	4.2
36	1.58	1.13	0.551	0.366	1.14	1.66	0.0	1.6	3.2	0.0	0.61	0.95	0.12	0.14	4.1
37	1.58	1.18	0.562	0.383	0.748	1.07	0.0	1.5	3.3	0.0	0.59	0.98	0.09	0.1	2.7
38	1.53	1.17	0.562	0.384	0.755	1.07	0.0	1.4	3.3	0.0	0.58	0.98	0.09	0.11	2.6
39	1.52	1.15	0.558	0.378	0.929	1.33	0.0	1.4	3.2	0.0	0.59	0.97	0.11	0.13	3.3
40	1.51	1.16	0.561	0.383	0.756	1.07	0.0	1.4	3.2	0.0	0.57	0.98	0.09	0.11	2.6
41	1.5	1.14	0.559	0.38	0.898	1.28	0.0	1.3	3.2	0.0	0.58	0.98	0.11	0.13	3.1
42	1.51	1.11	0.552	0.368	1.14	1.65	0.0	1.4	3.1	0.0	0.61	0.96	0.13	0.15	4.1
43	1.53	1.15	0.561	0.382	0.817	1.16	0.0	1.5	3.2	0.0	0.59	0.98	0.1	0.12	2.9
